Picture name;text_line
ex_1.jpg;Это проект для СВТ
ex_2.jpg;На доске пишу текст
ex_3.jpg;Чтобы модель
ex_4.jpg;распознала хорошо и
ex_5.jpg;Сегодня today I was очень рад
ex_6.jpg;На английском это называется DHCP
ex_7.jpg;It was a beautiful day. We are walking
ex_8.jpg;together. Sometimes angry, sometimes not
ex_9.jpg;Maybe we need more encourage
ex_10.jpg;1. Повторить ffmpeg
ex_11.jpg;2. Изучить onvif и попробовать
ex_12.jpg;управлять PTZ камерой
ex_13.jpg;3. Почитать документацию
ex_14.jpg;глянуть gstreamer.
ex_15.jpg;3. Документация по gstreamer
ex_16.jpg;2. Изучить onvif и управлять
ex_17.jpg;PTZ камеры
ex_18.jpg;1. Повторить ffmpeg
ex_19.jpg;In discreate mathematic,
ex_20.jpg;partucularly of a set of objects
ex_21.jpg;objects are in some sense
ex_22.jpg;..Second element
