label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
rectangle,57,53,137,104,1.jpg,720,480
rectangle,58,279,142,72,1.jpg,720,480
rectangle,326,234,119,82,1.jpg,720,480
rectangle,558,176,82,57,1.jpg,720,480
rectangle,550,324,82,62,1.jpg,720,480
rectangle,479,113,180,110,10.jpg,720,480
rectangle,484,346,189,92,10.jpg,720,480
rectangle,221,113,160,113,10.jpg,720,480
rectangle,0,109,149,111,10.jpg,720,480
rectangle,375,55,93,48,11.jpg,720,480
rectangle,498,93,56,177,11.jpg,720,480
rectangle,377,161,88,53,11.jpg,720,480
rectangle,385,276,77,54,11.jpg,720,480
rectangle,201,296,111,58,11.jpg,720,480
rectangle,118,392,388,72,11.jpg,720,480
rectangle,99,45,179,290,13.jpg,720,480
rectangle,115,102,87,59,13.jpg,720,480
rectangle,111,223,87,54,13.jpg,720,480
rectangle,398,83,122,63,13.jpg,720,480
rectangle,413,222,104,66,13.jpg,720,480
rectangle,414,366,116,70,13.jpg,720,480
rectangle,121,30,159,52,14.jpg,720,480
rectangle,145,40,112,29,14.jpg,720,480
rectangle,121,111,171,115,14.jpg,720,480
rectangle,111,334,177,65,14.jpg,720,480
rectangle,418,139,109,62,14.jpg,720,480
rectangle,357,303,96,63,14.jpg,720,480
rectangle,550,311,93,70,14.jpg,720,480
rectangle,66,93,165,98,15.jpg,720,480
rectangle,375,105,110,95,15.jpg,720,480
rectangle,562,122,109,87,15.jpg,720,480
rectangle,58,31,122,70,16.jpg,720,480
rectangle,245,22,119,54,16.jpg,720,480
rectangle,464,21,124,57,16.jpg,720,480
rectangle,248,173,118,53,16.jpg,720,480
rectangle,145,302,117,47,16.jpg,720,480
rectangle,335,303,78,42,16.jpg,720,480
rectangle,202,391,263,55,16.jpg,720,480
rectangle,41,130,143,98,18.jpg,720,480
rectangle,305,126,164,132,18.jpg,720,480
rectangle,555,34,110,76,18.jpg,720,480
rectangle,564,285,117,99,18.jpg,720,480
rectangle,63,38,128,93,19.jpg,720,480
rectangle,398,33,134,93,19.jpg,720,480
rectangle,501,267,154,91,19.jpg,720,480
rectangle,246,258,126,81,19.jpg,720,480
rectangle,44,220,99,107,19.jpg,720,480
rectangle,260,50,110,82,2.jpg,720,480
rectangle,464,186,87,59,2.jpg,720,480
rectangle,279,189,126,82,2.jpg,720,480
rectangle,27,270,139,101,2.jpg,720,480
rectangle,511,271,110,97,2.jpg,720,480
rectangle,78,33,166,137,21.jpg,720,480
rectangle,417,174,157,107,21.jpg,720,480
rectangle,77,34,167,138,3.jpg,720,480
rectangle,381,178,155,110,3.jpg,720,480
rectangle,32,332,142,102,3.jpg,720,480
rectangle,78,34,166,134,4.jpg,720,480
rectangle,381,178,155,111,4.jpg,720,480
