image_name,W,H,rect_tp,rect_fp,rect_fn,rect_precision,rect_recall,rect_f1,arrow_tp,arrow_fp,arrow_fn,arrow_precision,arrow_recall,arrow_f1
1.jpg,1024,768,0,5,5,0.0,0.0,0.0,0,4,6,0.0,0.0,0.0
10.jpg,1024,768,0,4,4,0.0,0.0,0.0,0,3,5,0.0,0.0,0.0
11.jpg,1080,1920,0,3,6,0.0,0.0,0.0,0,2,5,0.0,0.0,0.0
12.jpg,800,600,0,3,3,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
13.jpg,1000,750,0,4,6,0.0,0.0,0.0,0,3,4,0.0,0.0,0.0
14.jpg,1024,768,0,6,7,0.0,0.0,0.0,0,3,4,0.0,0.0,0.0
15.jpg,1024,768,0,3,3,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
16.jpg,1024,768,0,6,7,0.0,0.0,0.0,0,5,5,0.0,0.0,0.0
18.jpg,1000,750,0,4,4,0.0,0.0,0.0,0,3,3,0.0,0.0,0.0
19.jpg,1000,750,0,7,5,0.0,0.0,0.0,0,4,4,0.0,0.0,0.0
2.jpg,1024,768,0,6,5,0.0,0.0,0.0,0,6,6,0.0,0.0,0.0
20.jpg,1000,667,0,3,3,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
21.jpg,853,536,0,2,2,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0
22.jpg,1000,667,0,3,3,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
23.jpg,800,600,0,5,4,0.0,0.0,0.0,0,5,5,0.0,0.0,0.0
24.jpg,600,400,0,3,3,0.0,0.0,0.0,0,3,4,0.0,0.0,0.0
25.jpg,600,600,0,3,3,0.0,0.0,0.0,0,4,4,0.0,0.0,0.0
26.jpg,600,400,0,3,3,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
27.jpg,853,569,0,9,9,0.0,0.0,0.0,1,7,6,0.125,0.14285714285714285,0.13333333333333333
28.jpg,600,400,0,3,3,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
29.jpg,1024,768,0,3,4,0.0,0.0,0.0,0,4,5,0.0,0.0,0.0
3.jpg,469,480,0,3,3,0.0,0.0,0.0,0,4,5,0.0,0.0,0.0
4.jpg,720,540,0,4,3,0.0,0.0,0.0,0,5,5,0.0,0.0,0.0
5.jpg,720,480,0,0,4,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0
6.jpg,720,480,0,0,6,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0
7.jpg,720,480,0,0,9,0.0,0.0,0.0,0,0,9,0.0,0.0,0.0
8.jpg,720,480,0,0,5,0.0,0.0,0.0,0,0,5,0.0,0.0,0.0
9.jpg,720,480,0,0,4,0.0,0.0,0.0,0,0,8,0.0,0.0,0.0
